,demand_kwh,hour
0,0.5817404863377189,0
1,0.5817404863377189,1
2,0.5194910050170743,2
3,0.5023097800344891,3
4,0.504077502834044,4
5,0.5346059094554889,5
6,0.6401306330365358,6
7,0.8250965026083229,7
8,0.8904443746953594,8
9,0.8226171411900527,9
10,0.770625256802296,10
11,0.7696673552031904,11
12,0.7564505410370802,12
13,0.731867275853403,13
14,0.7146018903628083,14
15,0.7284198879817335,15
16,0.8163182058954828,16
17,1.016419830469887,17
18,1.24290487400318,18
19,1.3810237938312182,19
20,1.4654298688285612,20
21,1.466574900865936,21
22,1.268108325379846,22
23,1.0044877886709744,23
